Pincode	Neighbourhood	Borough	Latitude	Longitude
560007	Agram	Bangalore South	null	null
560092	Amruthahalli	Bangalore North	null	null
560024	Anandnagar Bangalore	Bangalore North	null	null
560045	Arabic College	Bangalore North	null	null
560064	Attur	Bangalore North	null	null
560047	Austin Town	Bangalore North	null	null
560043	Banaswadi	Bangalore North	null	null
560001	Bangalore Bazaar	Bangalore North	null	null
560103	Bellandur	Bangalore South	null	null
560046	Benson Town	Bangalore North	null	null
560049	Bhattarahalli	Bangalore North	null	null
560063	BSF Campus Yelahanka	Bangalore North	null	null
560093	C.V.Raman Nagar	Bangalore North	null	null
560025	CMP Centre & School	Bangalore North	null	null
560067	Devanagundi	Bangalore South	null	null
560036	Devasandra	Bangalore North	null	null
560077	Doddagubbi	Bangalore North	null	null
560037	Doddanekkundi	Bangalore North	null	null
560071	Domlur	Bangalore North	null	null
560016	Doorvaninagar	Bangalore North	null	null
560005	Fraser Town	Bangalore North	null	null
560065	G.K.V.K.	Bangalore North	null	null
560087	Gunjur	Bangalore North	null	null
560008	H.A.L II Stage	Bangalore North	null	null
560051	H.K.P. Road	Bangalore North	null	null
560048	Hoodi	Bangalore North	null	null
560038	Indiranagar Bangalore	Bangalore North	null	null
560094	ISRO Anthariksha Bhavan	Bangalore North	null	null
560006	J.C.Nagar	Bangalore North	null	null
560075	Jeevanbhimanagar	Bangalore North	null	null
560084	Lingarajapuram	Bangalore North	null	null
560033	Maruthi Sevanagar	Bangalore North	null	null
560017	NAL	Bangalore North	null	null
560032	P&T Col. Kavalbyrasandra	Bangalore North	null	null
560080	Sadashivanagar	Bangalore North	null	null
560042	Sivan Chetty Gardens	Bangalore North	null	null
560066	Whitefield	Bangalore South	null	null
560030	Adugodi	Bangalore South	null	null
560034	Agara	Bangalore South	null	null
560050	Ashoknagar Bangalore	Bangalore South	null	null
560070	B Sk II Stage	Bangalore South	null	null
560085	Banashankari III Stage	Bangalore South	null	null
560002	Bangalore Corporation Building	Bangalore South	null	null
560076	Bannerghatta Road	Bangalore South	null	null
560083	Bannerghatta	Bangalore South	null	null
560004	Basavanagudi	Bangalore South	null	null
560068	Begur	Bangalore South	null	null
560056	Bnagalore Viswavidalaya	Bangalore South	null	null
560082	Bolare	Bangalore South	null	null
560099	Bommasandra Industrial Estate	Bangalore South	null	null
560035	Carmelram	Bangalore South	null	null
560018	Chamrajpet Bangalore	Bangalore South	null	null
560053	Chickpet	Bangalore South	null	null
560061	Chikkalasandra	Bangalore South	null	null
560060	Chudenapura	Bangalore South	null	null
560026	Deepanjalinagar	Bangalore South	null	null
560029	Dharmaram College	Bangalore South	null	null
560062	Doddakallasandra	Bangalore South	null	null
560100	Electronics City	Bangalore South	null	null
560019	Gaviopuram Extension	Bangalore South	null	null
560102	HSR Layout	Bangalore South	null	null
560078	J P Nagar	Bangalore South	null	null
560041	Jayanagar	Bangalore South	null	null
560011	Jayangar III Block	Bangalore South	null	null
560095	Koramangala VI Bk	Bangalore South	null	null
560074	Kumbalagodu	Bangalore South	null	null
560039	Nayandahalli	Bangalore South	null	null
560098	Rajarajeshwarinagar	Bangalore South	null	null
560059	Rv Niketan	Bangalore South	null	null
560027	Sampangiramnagar	Bangalore South	null	null
560109	Thalaghattapura	Bangalore South	null	null
560073	Bagalgunte	Bangalore North	null	null
560009	Bangalore Dist Offices Bldg	Bangalore North	null	null
560091	Bapagrama	Bangalore North	null	null
560079	Basaveshwaranagar	Bangalore North	null	null
560040	Chandra Lay Out	Bangalore North	null	null
560021	Gayathrinagar	Bangalore North	null	null
560104	Hampinagar	Bangalore North	null	null
560010	Industrial Estate Bangalore	Bangalore North	null	null
560014	Jalahalli East	Bangalore North	null	null
560013	Jalahalli	Bangalore North	null	null
560015	Jalahalli West	Bangalore North	null	null
560058	Laggere	Bangalore North	null	null
560023	Magadi Road	Bangalore North	null	null
560086	Mahalakshmipuram Layout	Bangalore North	null	null
560003	Malleswaram	Bangalore North	null	null
560055	Malleswaram West	Bangalore North	null	null
560054	Mathikere	Bangalore North	null	null
560072	Nagarbhavi	Bangalore North	null	null
560096	Nandinilayout	Bangalore North	null	null
560057	Peenya Dasarahalli	Bangalore North	null	null
560012	Science Institute	Bangalore North	null	null
560020	Seshadripuram	Bangalore North	null	null
560090	Tarabanahalli	Bangalore North	null	null
560097	Vidyaranyapura	Bangalore North	null	null
560022	Yeshwanthpur Bazar	Bangalore North	null	null
562149	Bagalur Bangalore	Bangalore North	null	null
562157	Bettahalsur	Bangalore North	null	null
562130	Chikkanahalli	Bangalore South	null	null
562162	Dasanapura	Bangalore North	null	null
